id,firstname,lastname,email,status,Department
468,Imojean,Bronk,Imojean.Bronk@jbu.edu,Student,Nursing
469,Stephanie,Engdahl,Stephanie.Engdahl@jbu.edu,Applicant,Business
470,Florencia,Therine,Florencia.Therine@jbu.edu,Student,Business
471,Hallie,Kermit,Hallie.Kermit@jbu.edu,Professor,Religion
472,Evaleen,Lay,Evaleen.Lay@jbu.edu,Employee,Sciences
473,Mariele,Letsou,Mariele.Letsou@jbu.edu,Employee,Engineering
474,Albertina,Neva,Albertina.Neva@jbu.edu,Employee,Religion
475,Kaja,Bates,Kaja.Bates@jbu.edu,Employee,Sciences
476,Leeanne,Dudley,Leeanne.Dudley@jbu.edu,Professor,Politics
477,Dotty,Sprage,Dotty.Sprage@jbu.edu,Student,Sciences
478,Mathilda,McLaughlin,Mathilda.McLaughlin@jbu.edu,Employee,Computer Science
479,Corene,Harned,Corene.Harned@jbu.edu,Applicant,Business
480,Gloria,Suzetta,Gloria.Suzetta@jbu.edu,Professor,Business
481,Henriette,Lorenz,Henriette.Lorenz@jbu.edu,Professor,Business
482,Leanna,Infield,Leanna.Infield@jbu.edu,Professor,Business
483,Carly,Ricki,Carly.Ricki@jbu.edu,Professor,Sciences
484,Etta,Arne,Etta.Arne@jbu.edu,Applicant,Religion
485,Caryl,Zrike,Caryl.Zrike@jbu.edu,Employee,Computer Science
486,Nicoli,Lumbard,Nicoli.Lumbard@jbu.edu,Applicant,Kinesiology
487,Penelopa,Schwejda,Penelopa.Schwejda@jbu.edu,Applicant,Business
488,Amii,Riordan,Amii.Riordan@jbu.edu,Student,Kinesiology
489,Elyssa,Selway,Elyssa.Selway@jbu.edu,Employee,Computer Science
490,Marsiella,Longfellow,Marsiella.Longfellow@jbu.edu,Student,Nursing
491,Pierette,Cyrie,Pierette.Cyrie@jbu.edu,Professor,Mathematics
492,Eadie,Atonsah,Eadie.Atonsah@jbu.edu,Applicant,Mathematics
493,Jenda,Maisey,Jenda.Maisey@jbu.edu,Student,Nursing
494,Zsa Zsa,My,Zsa Zsa.My@jbu.edu,Applicant,Business
495,Joeann,Lacombe,Joeann.Lacombe@jbu.edu,Professor,Mathematics
496,Raf,Lucienne,Raf.Lucienne@jbu.edu,Professor,Kinesiology
497,Elora,Sprage,Elora.Sprage@jbu.edu,Employee,Mathematics
498,Kellen,Carleen,Kellen.Carleen@jbu.edu,Applicant,Mathematics
499,Collen,Schalles,Collen.Schalles@jbu.edu,Student,Nursing
500,Peri,Seagraves,Peri.Seagraves@jbu.edu,Professor,Kinesiology
501,Corene,Brittani,Corene.Brittani@jbu.edu,Professor,Kinesiology
502,Yetty,Arley,Yetty.Arley@jbu.edu,Applicant,Business
503,Collen,Lane,Collen.Lane@jbu.edu,Student,Business
504,Rubie,Redmond,Rubie.Redmond@jbu.edu,Applicant,Politics
505,Shell,Paton,Shell.Paton@jbu.edu,Applicant,Mathematics
506,Jessy,Yoko,Jessy.Yoko@jbu.edu,Employee,Politics
507,Brana,Nea,Brana.Nea@jbu.edu,Employee,Nursing
508,Oralee,Morrill,Oralee.Morrill@jbu.edu,Professor,Business
509,Kimberley,Stelle,Kimberley.Stelle@jbu.edu,Applicant,Politics
510,Valli,Wilkinson,Valli.Wilkinson@jbu.edu,Student,Sciences
511,Cordi,LaRue,Cordi.LaRue@jbu.edu,Student,Business
512,Gerrie,Cassius,Gerrie.Cassius@jbu.edu,Applicant,Business
513,Aurelie,Gerge,Aurelie.Gerge@jbu.edu,Student,Engineering
514,Corene,Rad,Corene.Rad@jbu.edu,Applicant,Business
515,Sara-Ann,Love,Sara-Ann.Love@jbu.edu,Applicant,Religion
516,Konstance,Codding,Konstance.Codding@jbu.edu,Employee,Nursing
517,Vonny,Carbo,Vonny.Carbo@jbu.edu,Employee,Sciences
518,Myriam,Fairweather,Myriam.Fairweather@jbu.edu,Professor,Kinesiology
519,Jordan,Zetta,Jordan.Zetta@jbu.edu,Employee,Computer Science
520,Starla,Fairweather,Starla.Fairweather@jbu.edu,Applicant,Sciences
521,Hildegaard,Kelula,Hildegaard.Kelula@jbu.edu,Applicant,Computer Science
522,Lexine,Plato,Lexine.Plato@jbu.edu,Professor,Kinesiology
523,Orsola,Dalli,Orsola.Dalli@jbu.edu,Student,Nursing
524,Gretal,Bronk,Gretal.Bronk@jbu.edu,Student,Mathematics
525,Dotty,Millda,Dotty.Millda@jbu.edu,Student,Religion
526,Joy,Juliet,Joy.Juliet@jbu.edu,Professor,Kinesiology
527,Betta,Roarke,Betta.Roarke@jbu.edu,Student,Politics
528,Donnie,Jefferey,Donnie.Jefferey@jbu.edu,Professor,Religion
529,Taffy,Hamil,Taffy.Hamil@jbu.edu,Applicant,Politics
530,Rayna,Kirstin,Rayna.Kirstin@jbu.edu,Professor,Kinesiology
531,Kassey,Liva,Kassey.Liva@jbu.edu,Professor,Nursing
532,Rhoda,Penelopa,Rhoda.Penelopa@jbu.edu,Professor,Business
533,Babita,Deny,Babita.Deny@jbu.edu,Professor,Mathematics
534,Christal,Jethro,Christal.Jethro@jbu.edu,Professor,Nursing
535,Letizia,Adlare,Letizia.Adlare@jbu.edu,Applicant,Religion
536,Rosene,Jenness,Rosene.Jenness@jbu.edu,Employee,Business
537,Sheree,Palocz,Sheree.Palocz@jbu.edu,Professor,Mathematics
538,Marguerite,Tamar,Marguerite.Tamar@jbu.edu,Student,Mathematics
539,Elsie,Curren,Elsie.Curren@jbu.edu,Student,Computer Science
540,Ericka,Sabella,Ericka.Sabella@jbu.edu,Applicant,Mathematics
541,Nicoli,Lauraine,Nicoli.Lauraine@jbu.edu,Applicant,Computer Science
542,Romona,Grimbly,Romona.Grimbly@jbu.edu,Applicant,Sciences
543,Doro,Dominy,Doro.Dominy@jbu.edu,Applicant,Computer Science
544,Bernie,Fillbert,Bernie.Fillbert@jbu.edu,Professor,Religion
545,Mallory,Neils,Mallory.Neils@jbu.edu,Applicant,Mathematics
546,Tierney,Pauly,Tierney.Pauly@jbu.edu,Professor,Politics
547,Deloria,Goth,Deloria.Goth@jbu.edu,Professor,Mathematics
548,Jemie,Constancy,Jemie.Constancy@jbu.edu,Student,Sciences
549,Valera,Maisey,Valera.Maisey@jbu.edu,Professor,Mathematics
550,Lynea,Morrill,Lynea.Morrill@jbu.edu,Employee,Nursing
551,Shandie,Moseley,Shandie.Moseley@jbu.edu,Employee,Mathematics
552,Noelle,Narton,Noelle.Narton@jbu.edu,Applicant,Business
553,Jean,Gherardo,Jean.Gherardo@jbu.edu,Professor,Computer Science
554,Jillayne,Federica,Jillayne.Federica@jbu.edu,Professor,Nursing
555,Aaren,Raffo,Aaren.Raffo@jbu.edu,Applicant,Kinesiology
556,Rochette,Ummersen,Rochette.Ummersen@jbu.edu,Employee,Nursing
557,Demetris,Flyn,Demetris.Flyn@jbu.edu,Student,Business
558,Nollie,McAdams,Nollie.McAdams@jbu.edu,Employee,Mathematics
559,Randa,Montgomery,Randa.Montgomery@jbu.edu,Student,Politics
560,Deedee,Vharat,Deedee.Vharat@jbu.edu,Professor,Sciences
561,Sarette,Grobe,Sarette.Grobe@jbu.edu,Professor,Mathematics
562,Reeba,Denis,Reeba.Denis@jbu.edu,Professor,Politics
563,Wendi,Brotherson,Wendi.Brotherson@jbu.edu,Professor,Politics
564,Dennie,Claudine,Dennie.Claudine@jbu.edu,Employee,Mathematics
565,Elie,Barbey,Elie.Barbey@jbu.edu,Student,Nursing
566,Alexine,Solitta,Alexine.Solitta@jbu.edu,Applicant,Religion
567,Margarette,Tyson,Margarette.Tyson@jbu.edu,Employee,Politics
568,Robinia,Chem,Robinia.Chem@jbu.edu,Professor,Religion
569,Jsandye,Etom,Jsandye.Etom@jbu.edu,Professor,Computer Science
570,Riannon,Madox,Riannon.Madox@jbu.edu,Professor,Religion
571,Noelle,Diann,Noelle.Diann@jbu.edu,Employee,Engineering
572,Karena,Alejoa,Karena.Alejoa@jbu.edu,Applicant,Mathematics
573,Rhea,Berriman,Rhea.Berriman@jbu.edu,Professor,Nursing
574,Wanda,Denis,Wanda.Denis@jbu.edu,Student,Computer Science
575,Tobe,Ashely,Tobe.Ashely@jbu.edu,Employee,Politics
576,Livvyy,Stanwood,Livvyy.Stanwood@jbu.edu,Applicant,Computer Science
577,Angelique,Cordi,Angelique.Cordi@jbu.edu,Student,Kinesiology
578,Dode,Shields,Dode.Shields@jbu.edu,Employee,Kinesiology
579,Lizzie,Gwenore,Lizzie.Gwenore@jbu.edu,Professor,Engineering
580,Sabina,Imelida,Sabina.Imelida@jbu.edu,Employee,Engineering
581,Clo,Kat,Clo.Kat@jbu.edu,Employee,Sciences
582,Marita,Chapland,Marita.Chapland@jbu.edu,Employee,Mathematics
583,Karolina,Berard,Karolina.Berard@jbu.edu,Applicant,Religion
584,Marsiella,Alarise,Marsiella.Alarise@jbu.edu,Professor,Sciences
585,Sara-Ann,Ardeha,Sara-Ann.Ardeha@jbu.edu,Student,Religion
586,Viviene,Jethro,Viviene.Jethro@jbu.edu,Student,Kinesiology
587,Tressa,Camden,Tressa.Camden@jbu.edu,Professor,Nursing
588,Tracey,Zola,Tracey.Zola@jbu.edu,Employee,Engineering
589,Bettine,Hull,Bettine.Hull@jbu.edu,Professor,Mathematics
590,Babita,Adrienne,Babita.Adrienne@jbu.edu,Student,Business
591,Lory,Wyn,Lory.Wyn@jbu.edu,Employee,Mathematics
592,Romona,Friede,Romona.Friede@jbu.edu,Student,Mathematics
593,Gwyneth,Dermott,Gwyneth.Dermott@jbu.edu,Student,Engineering
594,Luci,Reneta,Luci.Reneta@jbu.edu,Student,Nursing
595,Shannah,Ummersen,Shannah.Ummersen@jbu.edu,Professor,Kinesiology
596,Marti,Rese,Marti.Rese@jbu.edu,Applicant,Kinesiology
597,Sophia,Manolo,Sophia.Manolo@jbu.edu,Employee,Religion
598,Karina,Carlson,Karina.Carlson@jbu.edu,Student,Mathematics
599,Annice,Whiffen,Annice.Whiffen@jbu.edu,Applicant,Sciences
600,Ira,Knowling,Ira.Knowling@jbu.edu,Professor,Business
601,Shaylyn,Estella,Shaylyn.Estella@jbu.edu,Employee,Religion
602,Susan,Radu,Susan.Radu@jbu.edu,Professor,Sciences
603,Bettine,Arquit,Bettine.Arquit@jbu.edu,Professor,Sciences
604,Alexine,Ajay,Alexine.Ajay@jbu.edu,Employee,Religion
605,Danny,Manolo,Danny.Manolo@jbu.edu,Student,Mathematics
606,Merry,Latini,Merry.Latini@jbu.edu,Applicant,Sciences
607,Fredericka,Sothena,Fredericka.Sothena@jbu.edu,Employee,Business
608,Tani,Bandeen,Tani.Bandeen@jbu.edu,Employee,Mathematics
609,Margarette,Capello,Margarette.Capello@jbu.edu,Professor,Religion
610,Dania,Hunfredo,Dania.Hunfredo@jbu.edu,Employee,Engineering
611,Phedra,Blase,Phedra.Blase@jbu.edu,Applicant,Kinesiology
612,Elie,Jethro,Elie.Jethro@jbu.edu,Professor,Nursing
613,Katharina,Cloris,Katharina.Cloris@jbu.edu,Student,Politics
614,Jsandye,Zina,Jsandye.Zina@jbu.edu,Employee,Sciences
615,Kary,Waite,Kary.Waite@jbu.edu,Employee,Kinesiology
616,Ruthe,Phyllis,Ruthe.Phyllis@jbu.edu,Student,Kinesiology
617,Amii,Orpah,Amii.Orpah@jbu.edu,Student,Business
618,Stacey,Fillbert,Stacey.Fillbert@jbu.edu,Student,Business
619,Codie,Arne,Codie.Arne@jbu.edu,Student,Sciences
620,Letizia,Bigner,Letizia.Bigner@jbu.edu,Student,Kinesiology
621,Dagmar,Sholley,Dagmar.Sholley@jbu.edu,Applicant,Sciences
622,Perry,Magnolia,Perry.Magnolia@jbu.edu,Employee,Nursing
623,Amara,Estella,Amara.Estella@jbu.edu,Professor,Business
624,Carmencita,Thema,Carmencita.Thema@jbu.edu,Applicant,Kinesiology
625,Vita,Grobe,Vita.Grobe@jbu.edu,Employee,Mathematics
626,Sallie,Darian,Sallie.Darian@jbu.edu,Student,Business
627,Sybille,Mendez,Sybille.Mendez@jbu.edu,Student,Sciences
628,Gerianna,Harday,Gerianna.Harday@jbu.edu,Applicant,Business
629,Larine,Dyche,Larine.Dyche@jbu.edu,Professor,Religion
630,Flory,Obed,Flory.Obed@jbu.edu,Employee,Sciences
631,Darci,Kirstin,Darci.Kirstin@jbu.edu,Student,Nursing
632,Adelle,Melan,Adelle.Melan@jbu.edu,Professor,Nursing
633,Lonnie,Selway,Lonnie.Selway@jbu.edu,Employee,Engineering
634,Averyl,Presber,Averyl.Presber@jbu.edu,Student,Politics
635,Hollie,Lia,Hollie.Lia@jbu.edu,Professor,Sciences
636,Sidoney,Tippets,Sidoney.Tippets@jbu.edu,Applicant,Politics
637,Roberta,Malanie,Roberta.Malanie@jbu.edu,Student,Business
638,Anallese,Wittie,Anallese.Wittie@jbu.edu,Professor,Religion
639,Roseline,Center,Roseline.Center@jbu.edu,Applicant,Politics
640,Sara-Ann,Federica,Sara-Ann.Federica@jbu.edu,Applicant,Sciences
641,Mamie,Wiener,Mamie.Wiener@jbu.edu,Employee,Computer Science
642,Vere,Deny,Vere.Deny@jbu.edu,Applicant,Sciences
643,Mamie,Roscoe,Mamie.Roscoe@jbu.edu,Employee,Kinesiology
644,Tarra,Brieta,Tarra.Brieta@jbu.edu,Employee,Mathematics
645,Fina,Podvin,Fina.Podvin@jbu.edu,Student,Kinesiology
646,Lorenza,Chem,Lorenza.Chem@jbu.edu,Professor,Nursing
647,Talya,Quent,Talya.Quent@jbu.edu,Student,Politics
648,Liana,Holtz,Liana.Holtz@jbu.edu,Applicant,Engineering
649,Britni,Oster,Britni.Oster@jbu.edu,Student,Nursing
650,Siana,Dimitris,Siana.Dimitris@jbu.edu,Applicant,Engineering
651,Carol-Jean,Alabaster,Carol-Jean.Alabaster@jbu.edu,Professor,Engineering
652,Kial,Dom,Kial.Dom@jbu.edu,Applicant,Engineering
653,Marline,Himelman,Marline.Himelman@jbu.edu,Applicant,Religion
654,Desirae,Fadiman,Desirae.Fadiman@jbu.edu,Professor,Computer Science
655,Audrie,Astra,Audrie.Astra@jbu.edu,Student,Kinesiology
656,Kathy,Johanna,Kathy.Johanna@jbu.edu,Applicant,Sciences
657,Nananne,Dorine,Nananne.Dorine@jbu.edu,Applicant,Mathematics
658,Vevay,Lesley,Vevay.Lesley@jbu.edu,Student,Religion
659,Renae,Bryna,Renae.Bryna@jbu.edu,Applicant,Sciences
660,Julieta,Karylin,Julieta.Karylin@jbu.edu,Applicant,Nursing
661,Tilly,Leonard,Tilly.Leonard@jbu.edu,Employee,Politics
662,Amara,Uund,Amara.Uund@jbu.edu,Professor,Computer Science
663,Stacey,Oscar,Stacey.Oscar@jbu.edu,Student,Sciences
664,Siana,Colleen,Siana.Colleen@jbu.edu,Professor,Engineering
665,Shell,Goerke,Shell.Goerke@jbu.edu,Employee,Sciences
666,Lynea,Ingra,Lynea.Ingra@jbu.edu,Applicant,Religion
667,Libbie,Byrne,Libbie.Byrne@jbu.edu,Applicant,Politics
668,Johna,Bigner,Johna.Bigner@jbu.edu,Applicant,Engineering
669,Collen,Odysseus,Collen.Odysseus@jbu.edu,Student,Sciences
670,Noelle,Auberbach,Noelle.Auberbach@jbu.edu,Student,Sciences
671,Lilith,Dielu,Lilith.Dielu@jbu.edu,Employee,Mathematics
672,Cam,Gregrory,Cam.Gregrory@jbu.edu,Professor,Nursing
673,Amalie,Holtz,Amalie.Holtz@jbu.edu,Applicant,Kinesiology
674,Bobbi,Zitvaa,Bobbi.Zitvaa@jbu.edu,Applicant,Religion
675,Alexine,Couture,Alexine.Couture@jbu.edu,Employee,Religion
676,Brynna,Kaja,Brynna.Kaja@jbu.edu,Applicant,Politics
677,Edith,Sharl,Edith.Sharl@jbu.edu,Applicant,Computer Science
678,Jacenta,Aprile,Jacenta.Aprile@jbu.edu,Applicant,Mathematics
679,Deirdre,Fink,Deirdre.Fink@jbu.edu,Student,Engineering
680,Clarice,Idelia,Clarice.Idelia@jbu.edu,Student,Engineering
681,Sue,Hanleigh,Sue.Hanleigh@jbu.edu,Professor,Business
682,Phylis,Hewitt,Phylis.Hewitt@jbu.edu,Employee,Nursing
683,Jacenta,Christal,Jacenta.Christal@jbu.edu,Professor,Nursing
684,Gilligan,Even,Gilligan.Even@jbu.edu,Professor,Kinesiology
685,Lesly,Magnolia,Lesly.Magnolia@jbu.edu,Applicant,Business
686,Jessy,Tufts,Jessy.Tufts@jbu.edu,Professor,Engineering
687,Juliane,Sperling,Juliane.Sperling@jbu.edu,Student,Kinesiology
688,Ida,Hanleigh,Ida.Hanleigh@jbu.edu,Student,Sciences
689,Lanae,Noam,Lanae.Noam@jbu.edu,Applicant,Kinesiology
690,Ofilia,Prober,Ofilia.Prober@jbu.edu,Professor,Sciences
691,Abbie,Bryna,Abbie.Bryna@jbu.edu,Student,Religion
692,Jere,Luhe,Jere.Luhe@jbu.edu,Applicant,Engineering
693,Norine,Knowling,Norine.Knowling@jbu.edu,Student,Nursing
694,Marcy,Hortensia,Marcy.Hortensia@jbu.edu,Applicant,Engineering
695,Desirae,Gombach,Desirae.Gombach@jbu.edu,Student,Engineering
696,Dione,Anderea,Dione.Anderea@jbu.edu,Professor,Engineering
697,Fidelia,Madox,Fidelia.Madox@jbu.edu,Student,Business
698,Marguerite,Amasa,Marguerite.Amasa@jbu.edu,Professor,Politics
699,Lorenza,Trace,Lorenza.Trace@jbu.edu,Professor,Politics
700,Kelly,Karylin,Kelly.Karylin@jbu.edu,Professor,Engineering
701,Tami,Shelba,Tami.Shelba@jbu.edu,Student,Sciences
702,Marjie,Cutlerr,Marjie.Cutlerr@jbu.edu,Professor,Politics
703,Lita,Jillane,Lita.Jillane@jbu.edu,Student,Sciences
704,Daphne,Dermott,Daphne.Dermott@jbu.edu,Professor,Business
705,Kamilah,Vary,Kamilah.Vary@jbu.edu,Applicant,Nursing
706,Jenda,Chobot,Jenda.Chobot@jbu.edu,Applicant,Kinesiology
707,Elena,Wesle,Elena.Wesle@jbu.edu,Applicant,Engineering
708,Tomasina,Bebe,Tomasina.Bebe@jbu.edu,Employee,Computer Science
709,Sharai,Myrilla,Sharai.Myrilla@jbu.edu,Employee,Sciences
710,Katuscha,Ball,Katuscha.Ball@jbu.edu,Applicant,Nursing
711,Addia,Adore,Addia.Adore@jbu.edu,Employee,Engineering
712,Demetris,Jarib,Demetris.Jarib@jbu.edu,Professor,Kinesiology
713,Brooks,Weaks,Brooks.Weaks@jbu.edu,Professor,Engineering
714,June,Anderea,June.Anderea@jbu.edu,Employee,Computer Science
715,Veda,Shields,Veda.Shields@jbu.edu,Employee,Politics
716,Ingrid,Bibi,Ingrid.Bibi@jbu.edu,Professor,Politics
717,Silvana,Kylander,Silvana.Kylander@jbu.edu,Professor,Engineering
718,Millie,Braun,Millie.Braun@jbu.edu,Employee,Kinesiology
719,Alyssa,Friede,Alyssa.Friede@jbu.edu,Professor,Engineering
720,Tersina,Dorine,Tersina.Dorine@jbu.edu,Employee,Kinesiology
721,Sarette,Lucienne,Sarette.Lucienne@jbu.edu,Student,Kinesiology
722,Dawn,Hertzfeld,Dawn.Hertzfeld@jbu.edu,Student,Computer Science
723,Aeriela,Lunsford,Aeriela.Lunsford@jbu.edu,Student,Mathematics
724,Caressa,Vins,Caressa.Vins@jbu.edu,Employee,Mathematics
725,Jolyn,Adlare,Jolyn.Adlare@jbu.edu,Student,Politics
726,Ofilia,Love,Ofilia.Love@jbu.edu,Employee,Religion
727,Kittie,Bettine,Kittie.Bettine@jbu.edu,Applicant,Engineering
728,Cyb,Harned,Cyb.Harned@jbu.edu,Employee,Kinesiology
729,Sadie,Melan,Sadie.Melan@jbu.edu,Professor,Business
730,Rozele,Thilda,Rozele.Thilda@jbu.edu,Employee,Religion
731,Judy,Kaja,Judy.Kaja@jbu.edu,Professor,Nursing
732,Caritta,Brady,Caritta.Brady@jbu.edu,Applicant,Engineering
733,Bill,Suanne,Bill.Suanne@jbu.edu,Student,Sciences
734,Selma,Charmine,Selma.Charmine@jbu.edu,Employee,Mathematics
735,Ingrid,Matthew,Ingrid.Matthew@jbu.edu,Applicant,Engineering
736,Kara-Lynn,Pascia,Kara-Lynn.Pascia@jbu.edu,Professor,Kinesiology
737,Anthia,Sharl,Anthia.Sharl@jbu.edu,Professor,Engineering
738,Halette,Ventre,Halette.Ventre@jbu.edu,Applicant,Computer Science
739,Marcy,Iiette,Marcy.Iiette@jbu.edu,Applicant,Business
740,Monika,Abram,Monika.Abram@jbu.edu,Student,Religion
741,Danny,Stuart,Danny.Stuart@jbu.edu,Professor,Nursing
742,Sabina,Kimmie,Sabina.Kimmie@jbu.edu,Employee,Engineering
743,Mahalia,Sidonius,Mahalia.Sidonius@jbu.edu,Student,Religion
744,Deedee,Arley,Deedee.Arley@jbu.edu,Student,Computer Science
745,Norine,Rugen,Norine.Rugen@jbu.edu,Employee,Sciences
746,Neila,Juan,Neila.Juan@jbu.edu,Professor,Politics
747,Melina,Bakerman,Melina.Bakerman@jbu.edu,Applicant,Engineering
748,Benita,Brackely,Benita.Brackely@jbu.edu,Employee,Computer Science
749,Carmela,Valoniah,Carmela.Valoniah@jbu.edu,Professor,Business
750,Ericka,Smitt,Ericka.Smitt@jbu.edu,Applicant,Religion
751,Doro,Konyn,Doro.Konyn@jbu.edu,Student,Engineering
752,Lily,Tacye,Lily.Tacye@jbu.edu,Professor,Religion
753,Pearline,Woodberry,Pearline.Woodberry@jbu.edu,Employee,Kinesiology
754,Dorothy,Koehler,Dorothy.Koehler@jbu.edu,Employee,Sciences
755,Ezmeralda,Gemini,Ezmeralda.Gemini@jbu.edu,Student,Business
756,Gilda,Peti,Gilda.Peti@jbu.edu,Professor,Business
757,Vinita,Bari,Vinita.Bari@jbu.edu,Student,Kinesiology
758,Elie,Paine,Elie.Paine@jbu.edu,Employee,Mathematics
759,Justinn,Francene,Justinn.Francene@jbu.edu,Professor,Nursing
760,Mary,Raseda,Mary.Raseda@jbu.edu,Employee,Computer Science
761,Sharai,Carbo,Sharai.Carbo@jbu.edu,Employee,Mathematics
762,Nicoli,Allina,Nicoli.Allina@jbu.edu,Employee,Business
763,Rhoda,Caitlin,Rhoda.Caitlin@jbu.edu,Professor,Nursing
764,Kayla,Tarrant,Kayla.Tarrant@jbu.edu,Professor,Kinesiology
765,Mellicent,Gillan,Mellicent.Gillan@jbu.edu,Employee,Engineering
766,Krystle,Mitzi,Krystle.Mitzi@jbu.edu,Employee,Kinesiology
767,Kaja,Tjon,Kaja.Tjon@jbu.edu,Employee,Business
768,Christal,Oriana,Christal.Oriana@jbu.edu,Student,Politics
769,Tierney,Leffen,Tierney.Leffen@jbu.edu,Professor,Kinesiology
770,Tani,Daegal,Tani.Daegal@jbu.edu,Professor,Nursing
771,Marylou,Wu,Marylou.Wu@jbu.edu,Employee,Computer Science
772,Brynna,Bethany,Brynna.Bethany@jbu.edu,Applicant,Nursing
773,Dulce,Belanger,Dulce.Belanger@jbu.edu,Applicant,Mathematics
774,Peri,Skell,Peri.Skell@jbu.edu,Applicant,Nursing
775,Tiffie,Socha,Tiffie.Socha@jbu.edu,Student,Mathematics
776,Heddie,Wadell,Heddie.Wadell@jbu.edu,Professor,Engineering
777,Harrietta,Parsaye,Harrietta.Parsaye@jbu.edu,Student,Religion
778,Nyssa,Sabella,Nyssa.Sabella@jbu.edu,Student,Nursing
779,Nataline,Goerke,Nataline.Goerke@jbu.edu,Applicant,Engineering
780,Janey,Bethany,Janey.Bethany@jbu.edu,Employee,Religion
781,Marika,Barrus,Marika.Barrus@jbu.edu,Employee,Business
782,Jeanna,Eugenia,Jeanna.Eugenia@jbu.edu,Student,Politics
783,Ayn,Othilia,Ayn.Othilia@jbu.edu,Employee,Nursing
784,Karly,Daveta,Karly.Daveta@jbu.edu,Employee,Nursing
785,Cherrita,Weide,Cherrita.Weide@jbu.edu,Student,Nursing
786,Oralee,Oriana,Oralee.Oriana@jbu.edu,Employee,Computer Science
787,Tybie,Gale,Tybie.Gale@jbu.edu,Applicant,Business
788,Lelah,Ietta,Lelah.Ietta@jbu.edu,Employee,Kinesiology
789,Cacilie,Teddman,Cacilie.Teddman@jbu.edu,Professor,Computer Science
790,Janenna,Travax,Janenna.Travax@jbu.edu,Professor,Religion
791,Tybie,Grosz,Tybie.Grosz@jbu.edu,Employee,Nursing
792,Michaelina,Tillford,Michaelina.Tillford@jbu.edu,Professor,Politics
793,Lucy,Wolfgram,Lucy.Wolfgram@jbu.edu,Applicant,Business
794,Cherilyn,Schalles,Cherilyn.Schalles@jbu.edu,Employee,Computer Science
795,Kathi,Andrel,Kathi.Andrel@jbu.edu,Applicant,Religion
796,Asia,Timon,Asia.Timon@jbu.edu,Professor,Kinesiology
797,Lyssa,Bevin,Lyssa.Bevin@jbu.edu,Applicant,Mathematics
798,Nadine,Glenden,Nadine.Glenden@jbu.edu,Professor,Business
799,Fayre,Sadowski,Fayre.Sadowski@jbu.edu,Professor,Kinesiology
800,Bettine,Vary,Bettine.Vary@jbu.edu,Professor,Kinesiology
801,Micheline,Center,Micheline.Center@jbu.edu,Professor,Nursing
802,Joane,Philipp,Joane.Philipp@jbu.edu,Applicant,Mathematics
803,Sindee,Sasnett,Sindee.Sasnett@jbu.edu,Professor,Nursing
804,Tiffie,Gillan,Tiffie.Gillan@jbu.edu,Professor,Religion
805,Nadine,Craggie,Nadine.Craggie@jbu.edu,Employee,Mathematics
806,Korrie,Reneta,Korrie.Reneta@jbu.edu,Applicant,Business
807,Deane,Stefa,Deane.Stefa@jbu.edu,Professor,Mathematics
808,Genevra,Eiser,Genevra.Eiser@jbu.edu,Professor,Politics
809,Barbi,Beniamino,Barbi.Beniamino@jbu.edu,Professor,Religion
810,Ricky,Cyrie,Ricky.Cyrie@jbu.edu,Student,Computer Science
811,Althea,Cecile,Althea.Cecile@jbu.edu,Applicant,Computer Science
812,Hildegaard,Bronk,Hildegaard.Bronk@jbu.edu,Professor,Business
813,Jasmina,Raimondo,Jasmina.Raimondo@jbu.edu,Professor,Kinesiology
814,Vinita,Mendez,Vinita.Mendez@jbu.edu,Student,Religion
815,Ellette,Jillane,Ellette.Jillane@jbu.edu,Employee,Nursing
816,Briney,Mendez,Briney.Mendez@jbu.edu,Professor,Business
817,Janeczka,Loring,Janeczka.Loring@jbu.edu,Employee,Kinesiology
818,Jacenta,Margret,Jacenta.Margret@jbu.edu,Professor,Religion
819,Molli,Warthman,Molli.Warthman@jbu.edu,Professor,Computer Science
820,Ingrid,Cleavland,Ingrid.Cleavland@jbu.edu,Employee,Business
821,Adelle,Tristram,Adelle.Tristram@jbu.edu,Student,Mathematics
822,Ericka,Malanie,Ericka.Malanie@jbu.edu,Applicant,Sciences
823,Vita,Zetta,Vita.Zetta@jbu.edu,Applicant,Nursing
824,Kial,Neva,Kial.Neva@jbu.edu,Professor,Politics
825,Ardenia,Ader,Ardenia.Ader@jbu.edu,Employee,Engineering
826,Sharlene,Thornburg,Sharlene.Thornburg@jbu.edu,Professor,Mathematics
827,Gusty,Tomasina,Gusty.Tomasina@jbu.edu,Applicant,Business
828,Sibella,Michella,Sibella.Michella@jbu.edu,Professor,Nursing
829,Amii,Rona,Amii.Rona@jbu.edu,Student,Business
830,Althea,Roxanna,Althea.Roxanna@jbu.edu,Professor,Nursing
831,Larine,Clarissa,Larine.Clarissa@jbu.edu,Applicant,Sciences
832,Mignon,Bakerman,Mignon.Bakerman@jbu.edu,Applicant,Sciences
833,Audrie,Gherardo,Audrie.Gherardo@jbu.edu,Employee,Engineering
834,Nananne,Haymes,Nananne.Haymes@jbu.edu,Student,Religion
835,Dorice,Carleen,Dorice.Carleen@jbu.edu,Employee,Religion
836,Christian,Percy,Christian.Percy@jbu.edu,Applicant,Kinesiology
837,Anestassia,Dash,Anestassia.Dash@jbu.edu,Student,Nursing
